bn:00046516n	[persona, individuo, alguien, mortal, humano, ser, alguno, alma, ser_humano, individuos, persona_individuo, personaje_real, sujeto, concepto_de_persona, individual, individualidad, indivisible, personas]	24989
bn:00023236n	[estado, nación, país, estado_soberano, res_publica, pueblo, república, territorio, estado_independiente, estados, estatal, poder_público, cuerpo_político, estados_soberanos, gubernamentales, nacional, naciones, sociedad_política, teoría_declarativa_de_la_estadidad]	22131
bn:03576260n	[fecha, día_del_año, fecha_del_calendario, formato_de_fecha]	5500
bn:00112923a	[desconocido, ignoto, incógnito]	5345
bn:00082527v	[afirmar, alegar, decir, declarar, sentenciar]	5339
bn:00063739n	[posibilidad, possibleness]	4628
bn:00085740v	[contraponer, contrastar, contraponerse, contrastarse]	3968
bn:00061450n	[pueblo, personas, gente, pueblo_trabajador, pueblos]	3897
bn:00076918n	[cosa, movida, rollo]	3449
bn:00007299n	[régimen, gobierno, autoridad, régimen_político, regimen, regimen_politico, regimenes, regímenes, autoridades]	3223
bn:00019319n	[ciudad, metrópoli, metrópolis, urbe, capital, aglomeración_urbana, zona_metropolitana, área_metropolitana, metropoli, ciudad_metrópoli, metropoli_colonial, metropolis, centro_urbano]	3186
bn:00059480n	[organización, establecimiento, constitución, formación, fundación, organizativo, organizaciones, organizacion, organizar, organizativa]	3173
bn:00088078v	[disfrutar, presentar, quedar, tener, cuentan_con, tienen]	3087
bn:00003341n	[estados_unidos, eeuu, estados_unidos_de_américa, américa, united_states, ee._uu., e.e.u.u., united_states_of_america, américas, estados, usa, ee.uu., estados_unidos_de_america, eua, revolucion_estadounidense, u.s.a., america, angloestadounidense, angloestadounidenses, broken/ee._uu., broken_ee._uu., broken_ee_uu, e._e._u._u., e._u._a., e.u.a., e_u_a, ee-uu, ee_uu, estadinense, estadinenses, estado-unidense, estado-unidenses, estado_estadounidense, estados_unidos_de_norte_america, estadounidense, estadounidenses, estadunidense, estadunidenses, los_estados_unidos_de_america, los_estados_unidos_de_américa, república_de_estados_unidos, revolución_de_las_trece_colonias, revolución_estadounidense, the_united_states, u.s., u_s, u_s., u_s.a., u_s_a, u_s_a., union_americana, unión_americana, unión_estadounidense, us, usamericano, usamericanos, usana, usanas, usano, useno, usense, usenses, useña, useñas, useño, useños, los_estados]	2441
bn:00021286n	[empresa, compañía, sociedad, actividad_empresarial, azienda, firma, empresas, negocio, negocios, sociedad_empresarial, compania_privada, companía_privada, compañia_privada, empresa_comercial]	2316
bn:00096798a	[todo]	2140
bn:00093287v	[decir, manifestar, afirmar, contar, declarar, sentenciar]	2121
bn:00083370v	[considerar, creer, opinar, pensar, estimar, creo]	2035
bn:00060834n	[partido_político, partido, partidos_políticos, partido_politico, partidos_politicos, partido_politicos, agrupacion_politica, agrupacion_política, agrupación_politica, partidismo, partidos_politico, partidos_político, afiliación_política, grupos_políticos]	2029
bn:00085334v	[andar, arreglárselas, desenvolverse, ir, salir, viajar, ver]	2020
bn:00078738n	[año, año_gregoriano, ma, mes_doce]	1995
bn:00104643a	[esencial, fundamental, imperativo, primordial]	1925
