bn:00046516n	[个人, 人, 个体, 凡人, 個人, 某人, 灵魂, 個體, 有些人, 有人, 谁]	24989
bn:00023236n	[国家, 国, 國, 主权国家, 國家, 政府, 主权国, 共和国, 国土, 州, 主权国家列表, 主權國, 主權國家, 人民, 国民, 國民, 邦, 邦国, 邦國, 主權州, 主權獨立國家, 独立国家, 政府政体, res出版物, 国内, 政治体, 政治社会]	22131
bn:03576260n	[日期, 日期格式]	5500
bn:00112923a	[]	5345
bn:00082527v	[主张, 声称, 宣称, 断言, 陈述, 说]	5339
bn:00063739n	[可能性, 可能, possibleness]	4628
bn:00085740v	[]	3968
bn:00061450n	[人民, 人们, 人士, 人类, 国民, 國民, 民族, 大众, 民众, 民眾, renmin, 人]	3897
bn:00076918n	[局面, 形势, 情况]	3449
bn:00007299n	[政权, 政府, 政体, 政治制度, 专制国家, 国家政权, 國權, 封建君主制国家, 封建君主制政權, 封建君主国, 封建君主政權, 封建国家, 封建政權, 封建王朝, 封建皇朝, 政權, 政權組織, 政治实体, 政治實體, 权威国家, 绝对主义国家, 資本主義國家, 资本主义国家, 当局]	3223
bn:00019319n	[城市, 大都市, 城, 都市, 大都會, 大城市, 大都会, 市, 城市中心]	3186
bn:00059480n	[组织, 团体, 机构, 集团, 組織, 團體, 機構, 集團, 社会组织, 社會組織, 建立]	3173
bn:00088078v	[有, 将]	3087
bn:00003341n	[美国, 美利坚合众国, 美利堅合眾國, 美國, 美, 亚美利加, 亞美利加, 合众国, 合眾國, 花旗国, usa, u.s., u.s.a, united_states, united_states_of_america, us, 亞米利加, 亞美利加合眾國, 亞美利堅合眾國, 北方聯邦, 弥利坚, 米利坚, 美利堅合衆國, 美利堅聯邦, 美國聯邦, 花旗國, 阿美利堅合眾國, u.s.a.]	2441
bn:00021286n	[公司, 企业, 事业, 事業, 企業, 会社, 商家, 商業單位, 商業機構, 非牟利公司]	2316
bn:00096798a	[所有, 一切, 一切+的, 所有+的, 都]	2140
bn:00093287v	[说, 告诉, 宣称, 讲, 讲述, 說, 說話, 说话]	2121
bn:00083370v	[相信, 认为, 以为, 想, 看待]	2035
bn:00060834n	[政党, 政黨, 党, -党, -黨, 黨派, 政治团体]	2029
bn:00085334v	[过活, 遭遇, 做]	2020
bn:00078738n	[年, 一年, 十二个月, 12个月]	1995
bn:00104643a	[]	1925
bn:00114626r	[只是, 仅仅, 只不过, 只有, 仅, 刚刚, 就, 恰好, 僅僅, 只不過]	1907
bn:06498512n	[政府組織, 國家組織]	1661
bn:00114246r	[也, 以及]	1624
bn:00086682v	[想, 想要, 愿意, 要, 希望, 愿望, 期望, 需要, 願意, 欲望]	1546
bn:00064914n	[省, 县, 国家, 州, 府, 省份]	1526
bn:00110913a	[]	1511
bn:00082418v	[建议, 敦促]	1498
bn:00066414n	[现实, 現實, 真实性, 實在]	1467
bn:00093430v	[见, 看, 看见, 睇, 見, 看到]	1443
bn:00082705v	[使用, 利用, 采用]	1414
bn:00114165r	[]	1399
bn:00092876v	[像, 相似, 类似, 类似于]	1399
bn:00108011a	[其他, 其他+的, 其它, 另外, 另外+的]	1366
bn:00087672v	[意味着, 意思是, 暗示, 蕴涵, 衍推]	1337
bn:00016756n	[中华人民共和国, 中国, 中国大陆, 中華人民共和國, 中國, 契丹, 中, 中國大陸, 大陆, 大陸, 中华, 中華, 中国内地, 中國內地, 內地, 内地, 华, 華, 国泰, prc, 共产中国, 北京当局, 國泰, 新中国, 红色中国, 🇨🇳, people's_republic_of_china, 中共国, 中国大陆地区, 中国定义, 中國大陸人, 中國大陸人民, 中華人​​民共和國, 中華民國大陸地區, 北京政权, 大陆地区, 大陸地區, 淪陷地區, 社会主义中国, 祖國大陸, 中国红, 共产党中国]	1330
bn:00085261v	[知道]	1218
bn:00046150n	[不可能, 不可能性, 不可能的事物, impossibleness]	1200
bn:00097285a	[不管什么样, 不管什么样+的, 任何, 无论什么样, 无论什么样+的]	1158
bn:00106935a	[]	1037
bn:00082844v	[尝试, 企图, 试, 试图, 嘗試, 探索, 追求, 企圖, 試, 寻求]	1028
bn:00057820n	[序数, 序數, 顺序数, 序数词, 序, 冯·诺伊曼序数, 序相, 没有]	1023
bn:00061135n	[百分比, 百分率, 百分之, 百分数, 比率, 部分, 巴仙, 百分數, ％, %, 趴线, 趴线豆, 百份比, 比例]	1021
bn:00084700v	[导致, 得到, 让]	1001
bn:00005732n	[武裝部隊, 军队, 軍隊, 武装部队, 武装力量, 軍事, 军事, 武力, 部队, 武装斗争, 武裝, 武裝人員, 武裝力量, defense, 军事部队, 军务, 军队事务, 国防, 國家防衛, 國家防衛事務, 國防, 軍中, 軍中事務, 軍事力量, 軍務, 軍用, 軍隊事務, 军事机器, 战争机器, 武装抵抗, 武装服务]	985
bn:00114512r	[之前, 以前]	975
bn:00083183v	[在, 有]	974
bn:00116284r	[更]	972
bn:00032770n	[制度性宗教, 信仰, 有組織宗教, 有组织宗教, 宗教, 宗教组织, 有组织的宗教]	961
bn:00028114n	[元, 一美元, 块, 圆, 圓, dollar, 美元]	944
bn:00036837n	[官员, 公务员, 官員, 做负责人或行使特殊使命的人, 官, 职员, 公務員, 主持, 工作人员, 民选官员, 职能, 选举办公室]	933
bn:00082822v	[需要, 必要, 要, 要求, 需, 需求]	930
bn:00115244r	[甚至]	914
bn:00045632n	[假说, 理论, 论, 假设, 假說, 科学假说, 可能性]	897
bn:00082481v	[帮助, 帮忙, 协助, 幫助, 幫忙, 帮, 援助]	897
bn:00082690v	[似乎, 好像, 显得, 看起来, 像是, 看似, 顯得, 出现]	874
bn:00115253r	[]	868
bn:00117043r	[]	868
bn:00106408a	[许多]	860
bn:00065108n	[出版, 出版物, 刊物, 上梓, 發行, 發表, 书, 发布]	856
bn:00091493v	[支付, 付, 纳, 给钱, 付款, 付给, 納, 給錢]	851
bn:00086013v	[生产, 作, 做, 做出, 创作, 创造, 制造]	838
bn:00082276v	[得到, 获得, 取得]	834
bn:00084699v	[做, 导致]	834
bn:00066884n	[区域, 地区, 區域, 地區, 行政区域]	817
bn:00084343v	[去世, 死亡, 死去, 消逝, 翘辫子, 与世长辞, 亡故, 交粮本, 交糧本, 別世, 命赴黃泉, 命赴黄泉, 咽气, 嚥氣, 弃世, 撒手人寰, 棄世, 沦没丧亡, 淪沒喪亡, 离开人世, 與世長辭, 辞世, 辭世, 过世, 还本, 进了天堂, 逝世, 逝去, 進了天堂, 過世, 還本, 陨命, 隕命, 離開人世]	802
bn:00001533n	[男人, 男性, 人, 男, 汉子, 爺們, 男子, 男方, 👨, 性成熟, 成年男性]	772
bn:00091116v	[使负义务]	762
bn:00047447n	[伊朗, 伊朗伊斯兰共和国, iran, persia, 伊朗伊斯蘭共和國, 伊朗政府, 波斯伊朗國, 波斯第三帝国]	762
bn:00114073r	[大约, 大致, 大概, 将近, 左右, 差不多, 或多或少, 大約, 约摸, 將近, 或多少, 约]	760
bn:00068622n	[俄罗斯, 俄国, 俄國, 俄羅斯, 露西亞, 露西亚, 俄罗斯联邦, russia, russian_federation, 俄, 俄羅斯聯邦, 俄羅斯聯邦共和國, 俄联邦, 羅剎國, 羅宋]	749
bn:00116789r	[真正的, 非常]	742
bn:00013173n	[英国, 大不列颠及北爱尔兰联合王国, 联合王国, 大不列顛及北愛爾蘭聯合王國, 聯合王國, 英, 英國, 大英联合王国, 大英聯合王國, 英联合王国, 英聯合王國, uk, 不列颠, 2009年英国, 2010年英国, united_kingdom, united_kingdom_of_great_britain_and_northern_ireland, 大不列顛暨北愛爾蘭聯合王國, 大不列顛與北愛爾蘭聯合王國, 大不列颠和北爱尔兰联合王国, 聯合皇國, 腐国, 英吉利國, 英国大不列颠及北爱尔兰]	738
bn:03330021n	[巴拉克·奧巴馬, 贝拉克·奥巴马, 奧巴馬, 歐巴馬, barack_obama, obama, 奥巴马, 奧巴瑪, 奧觀海, 巴拉克·奥巴马, 巴拉克·欧巴马, 巴拉克·歐巴馬, 巴拉克·海珊·歐巴馬二世, 歐巴瑪, 歐巴馬總統, 貝拉克·奧巴馬, 贝拉克·侯赛因·奥巴马, 贝拉克·侯赛因·奥巴马二世]	736
bn:00032021n	[事件, 活动, 活動]	734
bn:00086455v	[反对, 打]	729
